Sample,Weight (mg),Dilution factor (df),Glycogen (ug/uL),Glucose (uM),(Glycogen-Glucose) (ug/uL),(Glycogen-Glucose)*df/weight (ug/uL/mg),Analysis File Date,,,
A01,25,20,11.67705249,0.177065583,11.49998691,9.199989524,20260130,,,
A02,50,20,5.302709233,0.099715247,5.202993987,2.081197595,20260130,,,
A03,14,20,1.89640379,0.053927404,1.842476386,2.632109123,20260130,,,
A04,21,20,3.252674962,0.067708211,3.184966752,3.033301668,20260130,,,
A05,24,20,4.890446439,0.19684771,4.693598729,3.911332274,20260130,,,
A06,25,20,7.84381611,3.62326125,4.22055486,3.37644389,20260204,,,
A07,17,20,2.22271263,5.2307128,-3.00800017,-3.53882373,20260204,,,
A08,12,20,7.54318228,0.91844374,6.62473854,11.0412309,20260204,,,
B01,20,20,5.93258169,2.32895315,3.60362854,3.60362854,20260204,,,
B02,31,20,11.15711797,2.16228882,8.99482914,5.80311558,20260204,,,
B03,15,20,4.71500598,-0.05590157,4.77090755,6.36121007,20260204,,,
B04,28,20,15.35373858,-1.28829019,16.64202877,11.8871634,20260204,,,
B05,27,20,14.88696347,-0.68900781,15.57597128,11.53775651,20260204,,,
B06,35,20,7.70177432,2.34504676,5.35672756,3.06098717,20260204,,,
B07,17,20,1.37574636,1.96180064,-0.58605428,-0.68947562,20260204,,,
B08,31,20,14.47311527,0.29917749,14.17393778,9.14447599,20260206,,,
C01,23,20,8.58357577,0.20544069,8.37813508,7.28533485,20260206,,,
C02,16,20,1.64005388,0.1092479,1.53080598,1.91350747,20260206,,,
C03,15,20,4.69212257,0.15795829,4.53416428,6.04555237,20260206,,,
C04,24,20,11.2754169,0.18456481,11.0908521,9.24237675,20260206,,,
C05,10,20,2.24547149,0.14445037,2.10102113,4.20204226,20260206,,,
C06,19,20,3.22188729,0.1264398,3.09544749,3.25836578,20260206,,,
C07,35,50,9.963897,-3.033739,12.997636,18.568051,20260218,,,
C08,35,20,4.5629656,0.07772941,4.48523619,2.56299211,20260206,,,
D01,25,20,13.74786316,0.10720124,13.64066192,10.91252954,20260206,,,
D02,22,20,3.84353,-3.422583,7.266114,6.605558,20260218,,,
D03,40,20,16.22856336,0.18767803,16.04088533,8.02044267,20260213,,,
D04,23,20,10.82765641,0.02159448,10.80606193,9.39657559,20260213,,,
D05,20,20,12.52038419,0.04302462,12.47735957,12.47735957,20260213,,,
D06,28,20,9.68282099,-0.04948213,9.73230312,6.95164509,20260213,,,
D07,23,20,2.07381221,0.43305308,1.64075913,1.42674707,20260213,,,
D08,25,20,12.93997955,-0.03269519,12.97267474,10.3781398,20260213,,,
E01,26,20,10.94249519,-0.05412533,10.99662052,8.45893886,20260213,,,
E02,9,20,2.64718634,0.29911473,2.34807161,5.2179369,20260213,,,
E03,25,20,16.25643619,0.09981448,16.15662171,12.92529737,20260213,,,
E04,31,20,13.61386,-3.471048,17.084908,11.022521,20260218,,,
E05,17,50,15.784482,0.389406,15.395076,45.279636,20260218,,,
E06,7,20,2.007036,-3.414694,5.421729,15.490655,20260218,,,
E07,11,20,3.256155,-3.488236,6.744391,12.262529,20260218,,,
