Family,individuals,individuals_with_area,mean_area_mm2,median_area_mm2,min_area_mm2,max_area_mm2
1,20,20,742.38055,738.0195,273.234,1116.292
2,8,8,796.607875,779.5754999999999,474.522,1076.339
3,20,20,764.3027999999999,764.2605,245.639,1281.176
5,20,20,675.13815,645.271,419.864,992.058
6,9,9,816.9054444444445,742.084,453.816,1213.738
7,17,17,808.5109411764706,740.111,406.687,1520.651
8,10,10,872.1262,940.7235000000001,480.453,1296.468
9,15,15,801.7702,780.658,415.348,1556.287
10,9,9,877.8872222222222,972.327,381.631,1169.234
